cakavski,stokavski
kjanta,boca opletena palminim lišćem
kjepolo,pribor za klepati kosu
kjesat,klesati
kjet,"kleti, proklinjati"
kjice,"klice, izdanci kod klijanja"
kjin,klin
kjun,kljun
klabučić,šeširić
klabuk,šešir
klal,stavio
klanac,"uska uličica, gradska"
klanfa,veća željezna kuka koja služi za spajanje predmeta
klavirka,harmonika koja ima klavijaturu
klešća,kliješta
klobuk,šešir
klošćina,ogrizak (ostatak od pojedenog voća npr. jabuke)
klubak,klupko
kmet,u našem kraju imućniji seljak
kobilica,"vrsta štednjaka, starinski"
koća,"mreža potegača, brodica koja vuče koću"
kofa,košara
kojenati (se),prevariti (se)
kokošar,kokošinjac
kokoše,kokoši
kokoševina,kokošje meso
kola,ljepilo
kolajna,ogrlica
kolap,"udar, npr. moždani"
koledvanje,"koledanje, obilazak kuća u božićne i novogodišnje praznike uz pjesmu i čestitke"
kolena,koljena
koleno,koljeno
kolo,kotač
kolor,boja
kolorat,bojiti
koloturica,motovilo (na njega se namota povraz)
koltra,"končan, ukrasni prekrivač za krevet"
koltrina,zavjesa
komač,jedva
komandant,zapovjednik
komin,dimnjak
komodin,noćni ormarić
komon,dimnjak
komoštra,"lanac iznad ognjišta na koga se vješa posuda, kotao za kuhanje"
kompanjat,pratiti
komunsko,"opći, općinski"
kondot,zahod
konjić,"mali konj, krovne grede"
konoba,podrum
kontento,zadovoljno
kontra,"nasuprot, protiv"
kopanjice,plitka drvena ili željezna posuda za nositi iskopanu zemlju i kamenje
koperta,"končan, ukrasni prekrivač za krevet"
kopica,"čarapa (muška ili ženska), često služi i za kopanje"
kor,zbor
korajo,hrabro
"korenat, kurenat","struja, najčešće se misli na morsku"
korezin,lančić (Kastavština)
korizma,kod kršćana razdoblje od 40 dana prije Uskrsa
kortejat,"simpatizirati, udvarati se"
koser,kosijer
koserača,sklopivi zakrivljeni nožić
koška,kvočka
kosozobac,vrsta crnog grožđa
kostum,kostim (najčešće se misli kupaći)
kot,kao
kotac,izdvojen prostor za domaće životinje
kotal,"velika posuda, kotao"
kotlenica,"peka, željezna posuda u kojoj se na ognjištu peče kruh"
kotorata,"otvor u podu, kroz koji se stepenicama spušta u podrum"
kotul,suknja
"koverta, kuverta",paluba broda
kožjak,selo u Istri
krabuljosnica,maska
krabunosnica,maska
kračat,nespretno hodati
kračun,zasun
kramat,lutati
"kranp, kramp","trnokop, pijuk"
kravuj,ptica grabljivica
krejutat,mahati krilima
krejuti,krila
krepano,nije živo
krepat ma ne molat,"uzrečica na Kvarneru.U prijevodu ""umrijet,ali ne odustat""."
krepko,"čvrsto, jako"
krijanca,pristojnost
krosna,tkalački stol
krpatur,poplun
kršit,lomiti
ku,koju
kućarin,žličica
kućer,vozač zaprežnih kola
kućeta,krevet
kudejica,kudjelja
kuharica,kuhača
"kujin, kujina","bratić, sestrična"
kukumar,krastavac
kumedija,"komedija, šala"
kumpanija,"društvo, udruga"
